Postcode;City;State;Region;
1000;Bruxelles;Bruxelles-Capitale;Bruxelles;
1020;Laeken;Bruxelles-Capitale;Bruxelles;
1030;Schaerbeek;Bruxelles-Capitale;Bruxelles;
1040;Etterbeek;Bruxelles-Capitale;Bruxelles;
1050;Ixelles;Bruxelles-Capitale;Bruxelles;
1060;Saint-Gilles;Bruxelles-Capitale;Bruxelles;
1070;Anderlecht;Bruxelles-Capitale;Bruxelles;
1080;Molenbeek-Saint-Jean;Bruxelles-Capitale;Bruxelles;
1081;Koekelberg;Bruxelles-Capitale;Bruxelles;
1082;Berchem-Sainte-Agathe;Bruxelles-Capitale;Bruxelles;
1083;Ganshoren;Bruxelles-Capitale;Bruxelles;
1090;Jette;Bruxelles-Capitale;Bruxelles;
1120;Neder-Over-Heembeek;Bruxelles-Capitale;Bruxelles;
1130;Haren;Bruxelles-Capitale;Bruxelles;
1140;Evere;Bruxelles-Capitale;Bruxelles;
1150;Woluwe-Saint-Pierre;Bruxelles-Capitale;Bruxelles;
1160;Auderghem;Bruxelles-Capitale;Bruxelles;
1170;Watermael-Boitsfort;Bruxelles-Capitale;Bruxelles;
1180;Uccle;Bruxelles-Capitale;Bruxelles;
1190;Forest;Bruxelles-Capitale;Bruxelles;
1200;Woluwe-Saint-Lambert;Bruxelles-Capitale;Bruxelles;
1210;Saint-Josse-Ten-Noode;Bruxelles-Capitale;Bruxelles;
1300;Limal;Waals-Brabant;Wallonië;
1300;Wavre;Waals-Brabant;Wallonië;
1301;Bierges;Waals-Brabant;Wallonië;
1310;La Hulpe;Waals-Brabant;Wallonië;
1315;Glimes;Waals-Brabant;Wallonië;
1315;Incourt;Waals-Brabant;Wallonië;
1315;Opprebais;Waals-Brabant;Wallonië;
1315;Piètrebais;Waals-Brabant;Wallonië;
1315;Roux-Miroir;Waals-Brabant;Wallonië;
1320;Beauvechain;Waals-Brabant;Wallonië;
1320;Hamme-Mille;Waals-Brabant;Wallonië;
1320;L'ecluse;Waals-Brabant;Wallonië;
1320;Nodebais;Waals-Brabant;Wallonië;
1320;Tourinnes-La-Grosse;Waals-Brabant;Wallonië;
1325;Bonlez;Waals-Brabant;Wallonië;
1325;Chaumont-Gistoux;Waals-Brabant;Wallonië;
1325;Corroy-Le-Grand;Waals-Brabant;Wallonië;
1325;Dion-Valmont;Waals-Brabant;Wallonië;
1325;Longueville;Waals-Brabant;Wallonië;
1330;Rixensart;Waals-Brabant;Wallonië;
1331;Rosières;Waals-Brabant;Wallonië;
1332;Genval;Waals-Brabant;Wallonië;
